"","lhs","","rhs","support","confidence","lift"
"[2]37","{milk=FALSE,toothed=TRUE}","=>","{hair=FALSE}",0.207920792079208,1,1.74137931034483
"[1]132","{eggs=TRUE,toothed=TRUE}","=>","{hair=FALSE}",0.198019801980198,1,1.74137931034483
"[2]128","{milk=FALSE,toothed=TRUE}","=>","{hair=FALSE}",0.207920792079208,1,1.74137931034483
"[1]43","{milk=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.415841584158416,1,1.74137931034483
"[2]38","{eggs=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.405940594059406,0.976190476190476,1.69991789819376
"[3]28","{toothed=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.207920792079208,0.954545454545455,1.66222570532915
"[4]22","{airborne=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.158415841584158,0.888888888888889,1.54789272030651
"[5]21","{backbone=TRUE,catsize=FALSE}","=>","{hair=FALSE}",0.306930693069307,0.775,1.34956896551724
"[1]133","{milk=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.415841584158416,1,1.74137931034483
"[2]129","{eggs=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.405940594059406,0.976190476190476,1.69991789819376
"[3]116","{toothed=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.207920792079208,0.954545454545455,1.66222570532915
"[4]111","{airborne=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.158415841584158,0.888888888888889,1.54789272030651
"[5]112","{backbone=TRUE,catsize=FALSE}","=>","{hair=FALSE}",0.306930693069307,0.775,1.34956896551724
"[1]44","{milk=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.514851485148515,0.945454545454545,1.64639498432602
"[2]39","{eggs=TRUE,domestic=FALSE}","=>","{hair=FALSE}",0.495049504950495,0.925925925925926,1.61238825031928
"[3]29","{toothed=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.316831683168317,0.888888888888889,1.54789272030651
"[4]23","{domestic=FALSE,catsize=FALSE}","=>","{hair=FALSE}",0.396039603960396,0.8,1.39310344827586
"[5]22","{tail=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.158415841584158,0.695652173913043,1.21139430284858
"[1]134","{milk=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.514851485148515,0.945454545454545,1.64639498432602
"[2]130","{eggs=TRUE,domestic=FALSE}","=>","{hair=FALSE}",0.495049504950495,0.925925925925926,1.61238825031928
"[3]117","{toothed=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.316831683168317,0.888888888888889,1.54789272030651
"[4]112","{domestic=FALSE,catsize=FALSE}","=>","{hair=FALSE}",0.396039603960396,0.8,1.39310344827586
"[5]113","{tail=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.158415841584158,0.695652173913043,1.21139430284858
"[1]45","{backbone=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.524752475247525,0.803030303030303,1.24778554778555
"[1]135","{backbone=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.524752475247525,0.803030303030303,1.24778554778555
"[1]46","{fins=FALSE,tail=TRUE}","=>","{aquatic=FALSE}",0.485148514851485,0.830508474576271,1.29048239895698
"[2]41","{legs=TRUE,tail=TRUE}","=>","{aquatic=FALSE}",0.465346534653465,0.824561403508772,1.28124156545209
"[1]136","{fins=FALSE,tail=TRUE}","=>","{aquatic=FALSE}",0.485148514851485,0.830508474576271,1.29048239895698
"[2]132","{legs=TRUE,tail=TRUE}","=>","{aquatic=FALSE}",0.465346534653465,0.824561403508772,1.28124156545209
"[1]47","{venomous=FALSE,fins=FALSE}","=>","{aquatic=FALSE}",0.603960396039604,0.792207792207792,1.23096903096903
"[1]137","{venomous=FALSE,fins=FALSE}","=>","{aquatic=FALSE}",0.603960396039604,0.792207792207792,1.23096903096903
"[1]49","{breathes=TRUE,domestic=TRUE}","=>","{aquatic=FALSE}",0.118811881188119,1,1.55384615384615
"[2]43","{backbone=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.108910891089109,1,1.55384615384615
"[3]31","{predator=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.376237623762376,0.926829268292683,1.44015009380863
"[4]24","{eggs=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.356435643564356,0.878048780487805,1.36435272045028
"[5]24","{breathes=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.633663366336634,0.842105263157895,1.3085020242915
"[6]20","{feathers=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.495049504950495,0.833333333333333,1.29487179487179
"[7]14","{breathes=TRUE,legs=TRUE}","=>","{aquatic=FALSE}",0.594059405940594,0.821917808219178,1.27713382507903
"[8]9","{breathes=TRUE,catsize=FALSE}","=>","{aquatic=FALSE}",0.326732673267327,0.804878048780488,1.25065666041276
"[9]9","{airborne=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.445544554455446,0.803571428571429,1.24862637362637
